2016-04-07 11:02:06,486 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":0,"completed_count":0},"thread_pool":{"active_size":1,"core_size":4,"current_size":1,"largest_size":1,"max_size":2147483647}}
2016-04-07 11:02:53,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:02:54,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:02:55,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:02:56,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:02:57,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:02:58,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:02:59,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:00,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:01,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:02,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:03,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:04,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:05,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:06,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:07,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:08,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:09,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:10,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:11,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:12,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:13,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:14,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:15,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:16,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:17,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:18,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:19,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:20,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:21,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:22,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:23,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:24,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:25,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:26,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:27,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:28,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:29,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:30,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:31,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:32,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:33,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:34,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:35,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:36,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:37,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:38,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:39,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:40,466 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:41,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:42,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:43,465 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
2016-04-07 11:03:44,464 INFO {"base":{"max_qpm":1500,"send_request_period":"40ms"},"request_queue":{"remainingCapacity":2147483647,"size":0},"task":{"all_count":6,"completed_count":6},"thread_pool":{"active_size":1,"core_size":4,"current_size":4,"largest_size":4,"max_size":2147483647}}
